VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596.0,1414552.9200000092,28372.0,1739044.279999961,507291.4299999927,52133.72000000038,257032.07000000007,324491.3599999517,18.659177556994635,0.897961767312318,1.2293949949924459
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645.0,1399080.1500000013,59771.0,1844950.2899999123,504735.05999999086,109817.06999999462,123780.21999999997,445870.13999991096,24.167054387136478,0.9855882595432435,1.318688060866213
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249.0,1396130.770000004,65184.0,2068091.1599999268,494487.6499999864,119767.48999999679,257032.07000000007,671960.3899999228,32.49181675337496,1.0145527556849134,1.4813018983887312
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546.0,1373128.4800000344,47966.0,1884307.3399999086,596574.9299999736,88129.79999999718,257032.07000000007,511178.85999987414,27.128210411784465,1.0088335506667228,1.3722731466467444
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078.0,1317439.4799999988,79042.0,1635666.5799999936,121065.2500000005,145234.94999999861,257032.07000000007,318227.09999999474,19.455499298640436,0.9995447532815701,1.2415496915273823
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349.0,1283470.6200000057,56888.0,1766391.1199999235,460087.9499999966,104524.53999999468,89286.26999999999,482920.4999999178,27.339386760500627,0.9919614988927444,1.3762614371335713
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388.0,1277758.760000023,32945.0,1699669.5499999388,589137.7899999818,60533.429999999644,89286.26999999999,421910.78999991575,24.823106938635863,0.9867317599137415,1.3301959675079107
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936.0,1208990.7200000167,61323.0,1528730.2699999334,392353.5400000112,112669.44999999378,18544.489999999998,319739.5499999167,20.915367234792217,0.9901026866442779,1.2644681590276494
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878.0,1205942.9200000067,58013.0,1736610.8699999568,294049.49000001303,60913.64999999909,89286.26999999999,530667.9499999501,30.557677552712963,0.9688533351147333,1.4400440030776476
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480.0,1193404.80000003,98938.0,1624366.61999994,306439.9400000274,181782.12999999203,123880.96999999999,430961.81999990996,26.531068460390173,0.9749507292077256,1.3611195631188169
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473.0,1190145.3300000117,94960.0,1554498.3999999403,307670.20000002836,174471.9299999901,123880.96999999999,364353.0699999286,23.43862624753699,0.9742185015337581,1.306141662547989
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088.0,1163442.7199999734,58610.0,1549701.8999999235,431497.8100000023,107685.02999999242,38994.78000000001,386259.1799999501,24.924740687223082,0.9919103709721094,1.3319967312184986
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389.0,1106876.6099999847,77041.0,1657809.5899999477,342678.85000002483,141551.60999999466,89286.26999999999,550932.979999963,33.23258493154092,1.0085352603123487,1.4977365814966228
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380.0,1098336.0000000028,38506.0,1584665.4099999722,349562.0600000109,4316.360000000023,48347.26,486329.4099999694,30.6897220656806,0.9535908865775137,1.442787462124494
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,72952.0,1073853.4400000074,73122.0,1456174.779999944,340626.1300000262,57570.69000000165,257032.07000000007,382321.3399999365,26.25518208741064,1.0023302993749315,1.3560274854638765
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,77066.0,1034996.3799999938,74722.0,1408627.7799999309,331726.6300000283,137288.57999998936,38994.78000000001,373631.39999993704,26.524494639737643,0.9695845119767472,1.3609977843593417
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,65382.0,1029112.6799999664,64388.0,1327401.1199999554,352821.7800000302,118298.36999999333,20964.809999999998,298288.439999989,22.471612800808774,0.9847970389403812,1.2898501260328448
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,29829.0,1014484.2900000048,29498.0,1533634.5199999893,132343.6699999998,3314.229999999996,48347.26,519150.2299999845,33.85097448119439,0.9889034161386571,1.511738067427325
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,46163.0,980963.75,44762.0,1177834.379999953,367508.0100000184,82244.1599999975,123780.21999999997,196870.6299999531,16.714627569281934,0.9696510192145225,1.2006910347094406
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,87954.0,976289.3999999905,84289.0,1174428.3599999628,257643.31000001548,66360.95000000214,50293.62000000002,198138.95999997237,16.871098037855507,0.9583304909384451,1.2029510511944248
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,61639.0,975128.9800000095,60102.0,1293182.9799999532,315290.18000002264,110429.44999999406,123780.21999999997,318053.99999994365,24.59466331670675,0.9750644883920895,1.3261660831779818
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294.0,967725.9800000013,75147.0,1323223.5299999889,177578.64999999676,138074.0899999973,89286.26999999999,355497.5499999876,26.86602391358553,1.100345564764108,1.3673535250133382
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750.0,69299.0,953554.2399999768,70603.0,1355204.9699999527,331321.59000003024,55584.91000000153,144929.24,401650.7299999759,29.63763702844079,1.0188170103464695,1.4212143506382875
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,22.99,750.0,52932.0,843206.7599999951,53206.0,1255188.9399999492,394500.86000001116,41888.06000000125,68601.68000000001,411982.17999995407,32.822323944311584,1.0051764528073754,1.4885897499208338
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,26.99,750.0,41048.0,839431.6000000037,37615.0,1034144.84999997,396827.6500000075,29615.59999999989,123880.96999999999,194713.24999996636,18.82843104618971,0.9163662054180471,1.231958446644093
